"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"3416935_3",7662,"E18","",3,"","",""
"3416934_3",7662,"E17","",3,"","",""
"3416933_3",7662,"E16","",3,"","",""
"3416932_3",7662,"E15","",3,"","",""
"3416931_3",7662,"E14","",3,"","",""
"3416930_3",7662,"E13","",3,"","",""
"3416929_3",7662,"E12","",3,"","",""
"3416928_3",7662,"E9","",3,"","",""
"3416927_3",7662,"E8","",3,"","",""
"3416926_3",7662,"E7","",3,"","",""
"3416925_3",7662,"E2","",3,"","",""
"3416924_3",7662,"E1","",3,"","",""
"3417999_3",7685,"X400","",3,"","",""
"3417998_3",7688,"X970","",3,"","",""
"3417997_3",7688,"X850","",3,"","",""
"3417996_3",7688,"X800","",3,"","",""
"3417995_3",7688,"X320","",3,"","",""
"3417994_3",7688,"X203","",3,"","",""
"3417993_3",7688,"X202","",3,"","",""
"3417992_3",7688,"X201","",3,"","",""
"3417991_3",7687,"885","",3,"","",""
"3417990_3",7687,"863","",3,"","",""
"3417989_3",7687,"862","",3,"","",""
"3417988_3",7687,"861","",3,"","",""
"3417987_3",7687,"860","",3,"","",""
"3417986_3",7687,"859","",3,"","",""
"3417985_3",7687,"837","",3,"","",""
"3417984_3",7687,"831","",3,"","",""
"3417983_3",7687,"807","",3,"","",""
"3417982_3",7687,"782","",3,"","",""
"3417981_3",7687,"772","",3,"","",""
"3417980_3",7687,"771","",3,"","",""
"3417979_3",7687,"715","",3,"","",""
"3417978_3",7687,"712","",3,"","",""
"3417977_3",7687,"711","",3,"","",""
"3417976_3",7687,"710","",3,"","",""
"3417975_3",7687,"710","",3,"","",""
"3417974_3",7687,"705","",3,"","",""
"3417973_3",7687,"702","",3,"","",""
"3417972_3",7687,"701","",3,"","",""
"3417971_3",7687,"694","",3,"","",""
"3417970_3",7687,"468","",3,"","",""
"3417969_3",7687,"459","",3,"","",""
"3417968_3",7687,"299","",3,"","",""
"3417967_3",7687,"721","",3,"","",""
"3417966_3",7687,"292","",3,"","",""
"3417965_3",7687,"292","",3,"","",""
"3417964_3",7688,"X660","",3,"","",""
"3417963_3",7688,"X200","",3,"","",""
"3417962_3",7687,"232","",3,"","",""
"3417961_3",7687,"691","",3,"","",""
"3417960_3",7687,"729","",3,"","",""
"3417959_3",7687,"728","",3,"","",""
"3417958_3",7687,"703","",3,"","",""
"3417957_3",7687,"691","",3,"","",""
"3417956_3",7687,"601","",3,"","",""
"3417955_3",7687,"617","",3,"","",""
"3417954_3",7688,"X732","",3,"","",""
"3417953_3",7685,"HEX","",3,"","",""
"3417952_3",12943,"744","",3,"","",""
"3417951_3",12943,"726","",3,"","",""
"3417950_3",12943,"722","",3,"","",""
"3417949_3",12943,"720","",3,"","",""
"3417948_3",12943,"719","",3,"","",""
"3417947_3",12943,"718","",3,"","",""
"3417946_3",12943,"717","",3,"","",""
"3417945_3",12943,"716","",3,"","",""
"3417944_3",7688,"X920","",3,"","",""
"3417943_3",7688,"X910","",3,"","",""
"3417942_3",7688,"X900","",3,"","",""
"3417941_3",7687,"982","",3,"","",""
"3417940_3",7687,"978","",3,"","",""
"3417939_3",7687,"975","",3,"","",""
"3417938_3",7687,"974","",3,"","",""
"3417937_3",7687,"968","",3,"","",""
"3417936_3",7687,"967","",3,"","",""
"3417935_3",7687,"966","",3,"","",""
"3417934_3",7687,"965","",3,"","",""
